ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5日均线
301027.SZ,20211011,16.91,17.25,16.81,17.15,16.91,0.24,1.4193,12711.42,21734.657,16.8
301027.SZ,20211008,16.68,16.95,16.6,16.91,16.5,0.41,2.4848,10673.57,17946.458,16.754
301027.SZ,20210930,16.58,16.63,16.4,16.5,16.41,0.09,0.5484,10868.68,17937.121,16.948
301027.SZ,20210929,17,17,16.38,16.41,17.03,-0.62,-3.6406,18205.4,30241.816,17.364
301027.SZ,20210928,16.92,17.1,16.81,17.03,16.92,0.11,0.6501,10031.77,17025.804,17.732
301027.SZ,20210927,17.82,18,16.89,16.92,17.88,-0.96,-5.3691,24798.33,42732.63,18.016
301027.SZ,20210924,18.51,18.55,17.83,17.88,18.58,-0.7,-3.7675,21644.17,39139.814,18.402
301027.SZ,20210923,18.37,18.65,18.27,18.58,18.25,0.33,1.8082,18682.95,34511.316,18.644
301027.SZ,20210922,18.2,18.4,18.05,18.25,18.45,-0.2,-1.084,13704.41,24993.507,18.636
301027.SZ,20210917,18.65,18.79,18.02,18.45,18.85,-0.4,-2.122,26685.27,48955.203,18.826
301027.SZ,20210916,18.95,19.53,18.74,18.85,19.09,-0.24,-1.2572,37071.62,71073.624,18.986
301027.SZ,20210915,18.77,19.14,18.51,19.09,18.54,0.55,2.9666,26362.55,49867.675,19.1
301027.SZ,20210914,19.45,19.45,18.53,18.54,19.2,-0.66,-3.4375,28855.78,54254.886,19.378
301027.SZ,20210913,19.3,19.34,18.74,19.2,19.25,-0.05,-0.2597,24069.09,45683.637,19.762
301027.SZ,20210910,19.55,19.68,19.21,19.25,19.42,-0.17,-0.8754,25258.7,49025.559,20.122
301027.SZ,20210909,20.48,20.5,19.29,19.42,20.48,-1.06,-5.1758,53811.35,105968.079,20.404
301027.SZ,20210908,20.4,20.62,20,20.48,20.46,0.02,0.0978,41463.15,84112.043,20.626
301027.SZ,20210907,21,21.06,20.34,20.46,21,-0.54,-2.5714,50833.86,104823.958,20.59
301027.SZ,20210906,20.6,21.18,20.25,21,20.66,0.34,1.6457,59697.07,124010.062,20.154
301027.SZ,20210903,20.2,20.96,19.85,20.66,20.53,0.13,0.6332,71427.21,145553.08,19.558
301027.SZ,20210902,20.3,21.5,20,20.53,20.3,0.23,1.133,112318.67,232787.389,19.098
301027.SZ,20210901,18.66,20.66,18.28,20.3,18.28,2.02,11.0503,103504.21,202095.785,18.774
301027.SZ,20210831,18.19,18.35,17.76,18.28,18.02,0.26,1.4428,25888,46752.204,18.586
301027.SZ,20210830,18.37,18.64,17.94,18.02,18.36,-0.34,-1.8519,30635.88,56015.104,18.86
301027.SZ,20210827,18.92,19.28,18.27,18.36,18.91,-0.55,-2.9085,35663.08,66470.978,19.092
301027.SZ,20210826,19.65,19.65,18.81,18.91,19.36,-0.45,-2.3244,34107.34,65112.712,19.154
301027.SZ,20210825,19.54,19.62,19.25,19.36,19.65,-0.29,-1.4758,35998.66,69816.939,19.366
301027.SZ,20210824,19.26,19.7,19.05,19.65,19.18,0.47,2.4505,50367.22,97651.628,19.996
301027.SZ,20210823,18.62,19.28,18.62,19.18,18.67,0.51,2.7317,39986.63,75948.036,20.126
301027.SZ,20210820,19.97,19.97,18.41,18.67,19.97,-1.3,-6.5098,70659.98,133893.926,20.246
301027.SZ,20210819,21.5,21.65,19.88,19.97,22.51,-2.54,-11.2839,99061.02,206317.289,20.306
301027.SZ,20210818,20.1,23.88,20.09,22.51,20.3,2.21,10.8867,144886.71,314584.188,20.074
301027.SZ,20210817,19.5,21.45,19.39,20.3,19.78,0.52,2.6289,96414.75,197747.631,19.466
301027.SZ,20210816,19,19.98,18.91,19.78,18.97,0.81,4.2699,55149.11,107218.235,19.264
301027.SZ,20210813,18.71,19.07,18.68,18.97,18.81,0.16,0.8506,29664.54,55970.207,19.024
301027.SZ,20210812,19.58,19.58,18.8,18.81,19.47,-0.66,-3.3898,43920.22,83419.776,18.796
301027.SZ,20210811,18.73,19.68,18.73,19.47,19.29,0.18,0.9331,55760.06,107458.476,18.716
301027.SZ,20210810,18.9,20.5,18.9,19.29,18.58,0.71,3.8213,81839.96,160552.856,18.552
301027.SZ,20210809,17.85,18.58,17.65,18.58,17.83,0.75,4.2064,38922.27,71167.533,18.32
301027.SZ,20210806,18.36,18.37,17.76,17.83,18.41,-0.58,-3.1505,37459.33,67280.502,18.22
301027.SZ,20210805,18.69,18.98,18.27,18.41,18.65,-0.24,-1.2869,48258.99,89288.793,18.198
301027.SZ,20210804,18.29,18.87,18.14,18.65,18.13,0.52,2.8682,55725.72,103335.836,18.212
301027.SZ,20210803,17.95,18.5,17.84,18.13,18.08,0.05,0.2765,40987.02,74731.312,18.144
301027.SZ,20210802,17.87,18.1,17.42,18.08,17.72,0.36,2.0316,39009.79,69476.731,18.15
301027.SZ,20210730,18.4,18.4,17.5,17.72,18.48,-0.76,-4.1126,53711.99,95383.269,18.416
301027.SZ,20210729,18.39,19.06,18.14,18.48,18.31,0.17,0.9285,49608.79,91997.23,18.752
301027.SZ,20210728,18.12,18.73,18.07,18.31,18.16,0.15,0.826,45248.07,83108.173,19.122
301027.SZ,20210727,19.38,19.4,18.15,18.16,19.41,-1.25,-6.44,51149.5,95880.792,19.762
301027.SZ,20210726,19.15,19.6,18.69,19.41,19.4,0.01,0.0515,49884.99,95994.414,20.54
301027.SZ,20210723,20.3,20.41,19.39,19.4,20.33,-0.93,-4.5745,69545.55,137802.904,21.618
301027.SZ,20210722,21.01,21.2,20.26,20.33,21.51,-1.18,-5.4858,93130.45,191316.732,22.798
301027.SZ,20210721,22,22.66,21.33,21.51,22.05,-0.54,-2.449,98243.6,215876.696,24.608
301027.SZ,20210720,22.98,23.76,22.01,22.05,24.8,-2.75,-11.0887,126431.64,286652.585,
301027.SZ,20210719,24.5,27.77,24.5,24.8,25.3,-0.5,-1.9763,124394.83,320518.896,
301027.SZ,20210716,28.88,28.88,24.52,25.3,29.38,-4.08,-13.887,164527.44,425160.034,
301027.SZ,20210715,26,33.95,26,29.38,11.45,17.93,156.5939,214025.98,635902.5,
